DATE,OPEN,HIGH,LOW,CLOSE ,VOLUME
6/6/1995,26.4974,26.9792,26.4492,26.8828,4370854
6/7/1995,27.2201,27.2682,26.6901,26.7624,4505512
6/8/1995,26.3047,26.6997,25.9193,26.5215,4223350
6/9/1995,26.6901,26.7865,26.2083,26.324,4815308
6/12/1995,26.3288,26.3818,25.9771,26.2951,4214400
6/13/1995,26.3288,26.6901,25.7266,26.1891,5392864
6/14/1995,26.2083,26.3432,25.7555,25.847,2931632
6/15/1995,25.7747,25.8663,25.4857,25.7458,1871740
6/16/1995,26.0156,26.4396,26.0156,26.2469,3301750
6/19/1995,26.4974,26.4974,26.1409,26.2083,1691026
6/20/1995,26.1361,26.4251,26.1361,26.2132,2249902
6/21/1995,26.5697,26.6227,26.2854,26.3095,1849296
6/22/1995,26.1602,26.3384,26.0301,26.2035,1549880
6/23/1995,26.112,26.2083,25.2496,25.3893,3279308
6/26/1995,25.8229,25.8229,25.1966,25.3797,1220366
6/27/1995,25.3411,25.4809,25.0906,25.2303,2431524
6/28/1995,25.293,25.9674,25.1677,25.7314,2185686
6/29/1995,26.112,26.1842,25.7266,25.7747,2101620
6/30/1995,25.582,25.6302,25.3171,25.4086,1859544
7/3/1995,25.2689,25.2689,24.6908,24.7678,1358918
7/4/1995,24.3776,24.9605,24.3776,24.604,2689036
7/5/1995,25.4375,25.4375,24.6667,24.7341,3440172
7/6/1995,24.5703,24.9654,24.4499,24.9268,2197362
7/7/1995,25.0039,25.1966,24.8931,25.081,2102400
7/10/1995,25.2159,25.293,24.9076,24.9461,1407696
7/11/1995,24.8883,25.028,24.7389,24.8256,2499502
7/12/1995,25.0521,25.3893,25.0521,25.3171,1429490
7/13/1995,25.5339,25.5579,25.3171,25.423,920432
7/14/1995,25.4375,25.6109,25.3411,25.476,1129426
7/17/1995,25.6543,25.847,25.4423,25.7651,1988626
7/18/1995,25.9193,25.9193,25.5965,25.7651,1946982
7/19/1995,25.5339,26.0253,25.5339,25.9674,2919308
7/20/1995,26.2083,26.7286,26.0253,26.4829,3351566
7/21/1995,26.3047,26.8105,26.3047,26.7479,4068452
7/24/1995,26.9792,27.4031,26.9792,27.273,4413664
7/25/1995,27.1719,28.3281,27.0996,27.9861,4848518
7/26/1995,28.7135,29.1953,28.1354,28.2221,8257166
7/27/1995,28.2799,28.3667,27.8945,28.2799,6279436
7/28/1995,27.4609,27.4609,26.3288,26.7479,7009166
7/31/1995,26.4974,26.4974,25.7266,25.8229,5769858
8/1/1995,25.6302,26.0156,25.4857,25.6254,6112086
8/2/1995,26.4492,26.8491,26.2083,26.7046,5237318
8/3/1995,26.8828,26.9792,25.3893,25.7169,11238096
8/4/1995,25.3411,25.9434,25.1484,25.8325,7531328
8/7/1995,26.112,26.2565,25.635,25.741,6365708
8/8/1995,25.5579,25.6543,25.2207,25.3026,7926616
8/9/1995,25.6302,25.6784,25.3797,25.4664,3470140
8/11/1995,25.5339,25.5339,25.2978,25.3315,2291026
8/14/1995,25.2689,25.3171,25.0135,25.2062,2993642
8/16/1995,25.3652,25.6928,25.3411,25.6254,3206918
8/17/1995,25.6302,25.8711,25.5387,25.688,3419156
8/18/1995,25.8711,25.8952,25.6495,25.8229,1522508
8/21/1995,25.8711,25.9964,25.7169,25.7314,3133490
8/22/1995,25.6302,26.2083,25.6302,25.9819,2789058
8/23/1995,26.401,26.4492,25.7266,26.0975,2692928
8/24/1995,26.0445,26.0879,25.6495,25.6977,3181490
8/25/1995,25.4471,25.6302,25.3363,25.3652,2593816
8/28/1995,25.3411,25.3411,24.8883,24.9509,3331978
8/30/1995,25.0521,25.2159,24.7148,25.1533,2767654
8/31/1995,25.2448,25.4134,25.1725,25.3556,2425816
9/1/1995,25.1484,25.4809,25.1484,25.4471,2052454
9/4/1995,25.4375,25.5772,25.1099,25.1581,2349794
9/5/1995,25.1243,25.3026,24.9365,25.2062,3197188
9/6/1995,25.0521,25.6543,24.763,25.5965,7297816
9/7/1995,25.8229,25.9674,25.3893,25.4568,6588712
9/8/1995,25.3893,25.635,25.3652,25.5628,2545944
9/11/1995,25.6302,25.688,25.4616,25.6447,1933490
9/12/1995,25.635,25.7169,25.0906,25.1966,4045362
9/13/1995,24.9557,25.3171,24.9316,25.1484,3253232
9/14/1995,25.1918,25.4279,25.1243,25.2592,1574528
9/15/1995,25.2978,25.3267,25.1484,25.1966,757102
9/18/1995,25.2448,25.3797,25.1581,25.3315,1226334
9/19/1995,25.2689,25.4134,25.2255,25.3556,1568820
9/20/1995,25.5339,25.7747,25.423,25.5098,1433902
9/21/1995,25.4905,25.6591,25.4905,25.5772,652150
9/22/1995,25.7266,25.8566,25.6302,25.7458,1068454
9/25/1995,25.5339,26.1505,25.5339,26.1216,1627458
9/26/1995,26.3047,26.7865,26.1698,26.5263,1883544
9/27/1995,26.3047,26.4396,25.9193,25.9915,2015480
9/28/1995,25.9193,26.2565,25.7988,26.0253,1390442
9/29/1995,26.0156,26.5359,26.0156,26.4396,1765232
10/4/1995,26.7865,27.3887,26.7865,27.3405,1812842
10/5/1995,27.6536,27.9427,26.7865,27.538,7688432
10/6/1995,27.7066,27.9379,27.2682,27.4031,5813966
10/9/1995,27.4031,27.4417,26.8395,26.9358,2834464
10/10/1995,26.9358,26.9743,26.2324,26.454,4854226
10/11/1995,26.454,26.7816,26.2565,26.6467,7927652
10/12/1995,26.6467,27.0755,26.3288,26.4251,5533490
10/13/1995,26.4492,26.5697,26.2324,26.4926,3831956
10/16/1995,26.4926,26.4926,26.3143,26.4396,1503308
10/17/1995,26.4107,26.6901,26.2565,26.3143,4496172
10/18/1995,26.3143,26.5456,25.6543,25.8277,5800604
10/19/1995,25.7988,25.7988,25.2496,25.4182,3760604
10/20/1995,25.4182,25.4375,24.9076,25.1099,4638226
10/24/1995,24.6426,24.6667,23.8043,23.9199,4487610
10/25/1995,23.9199,24.4643,23.8958,24.1319,2727696
10/26/1995,24.1319,24.3294,23.1443,23.3562,7691026
10/27/1995,23.3562,23.6068,22.571,23.4767,13706594
10/30/1995,23.8091,23.9922,23.0286,23.125,11370032
10/31/1995,22.9805,23.6068,22.8648,23.3322,11746636
11/1/1995,23.5104,25.0376,23.4382,24.8305,21610118
11/2/1995,25.2352,25.8229,24.6715,24.7245,28574398
11/3/1995,24.474,25.3315,24.3053,25.2352,27406960
11/6/1995,25.346,25.7217,25.0714,25.2062,20703178
11/7/1995,25.0039,25.3267,24.6667,24.8546,22406528
11/8/1995,24.5655,24.5655,23.8043,23.9199,13177296
11/9/1995,23.6068,24.8594,23.3177,23.4044,13610204
11/10/1995,23.3177,23.7417,23.1491,23.5779,12315112
11/13/1995,23.6549,23.8717,22.9997,23.0672,15232344
11/14/1995,23.125,23.3129,22.2,22.4168,21495436
11/15/1995,22.4505,24.0885,22.2819,23.3418,15899804
11/17/1995,21.9688,22.5951,21.5448,22.3831,21194982
11/20/1995,22.2626,22.6191,22.0699,22.4553,11020800
11/21/1995,22.4553,22.5228,20.7161,21.2461,17796582
11/22/1995,21.3906,21.6749,21.0823,21.5255,14896864
11/23/1995,21.0052,21.3184,20.8655,21.1642,11251458
11/24/1995,21.2943,21.8724,21.2461,21.6315,13034982
11/27/1995,21.776,21.8531,21.0148,21.0678,12093924
11/28/1995,20.4271,20.7065,19.2275,19.3576,16978378
11/29/1995,19.6081,20.138,18.7939,19.8827,22804798
11/30/1995,19.2708,21.9206,19.2227,21.6122,39030096
12/1/1995,22.2819,23.8958,22.2819,23.1009,49480732
12/4/1995,22.7396,23.5104,21.988,22.2241,40651848
12/5/1995,21.8242,21.8724,19.5214,19.7863,50041684
12/6/1995,20.3066,20.8992,19.7863,20.5523,40872256
12/7/1995,21.1979,21.381,20.7161,21.1449,30787848
12/8/1995,21.2895,21.4773,19.9935,20.244,31963458
12/11/1995,19.6081,19.8875,19.1263,19.531,39845708
12/12/1995,19.3238,19.7044,19.107,19.3431,30408128
12/13/1995,19.6707,20.3307,19.6707,20.244,27129340
12/14/1995,20.615,20.615,19.7044,19.7671,31874982
12/15/1995,19.4635,19.6081,19.0155,19.5165,28772886
12/18/1995,19.4154,19.7044,19.2949,19.4539,18540064
12/19/1995,19.3431,19.4298,19.0829,19.3142,19563112
12/20/1995,19.4154,20.2344,19.2757,19.3479,13548324
12/21/1995,19.7767,20.5186,19.6803,20.3789,30642160
12/22/1995,20.5234,20.904,19.9212,20.0465,37574788
12/26/1995,19.8586,19.8971,19.425,19.5743,26859372
12/27/1995,19.849,20.403,19.849,20.2826,22600734
12/28/1995,20.3307,20.4271,19.8056,19.9742,24823004
12/29/1995,19.849,19.9357,19.6129,19.7189,19516020
1/1/1996,19.7526,19.8586,19.6225,19.8249,9645274
1/2/1996,19.7767,19.873,19.5262,19.6707,15631524
1/3/1996,19.9935,20.904,19.7767,19.8201,19390702
1/4/1996,19.6322,19.6948,19.372,19.637,20092540
1/5/1996,19.5599,19.5599,19.3335,19.5021,15443026
1/8/1996,19.4635,19.478,18.5289,18.7216,17320346
1/9/1996,18.1676,18.5,17.5605,18.182,36013360
1/10/1996,17.8255,18.2543,17.6328,17.7147,25623436
1/11/1996,17.5365,18.3555,17.5124,18.2687,37947500
1/12/1996,18.4036,18.5434,17.9556,18.076,34709188
1/15/1996,18.023,18.1146,17.787,17.8881,18525274
1/16/1996,17.8255,18.0182,17.7677,17.9219,20124712
1/17/1996,17.8255,17.8496,17.0595,17.2089,27756194
1/18/1996,16.7704,17.0451,16.5536,16.7319,34969944
1/19/1996,16.5007,16.7078,16.3272,16.438,30063306
1/22/1996,16.491,16.9342,16.4766,16.7174,31367480
1/23/1996,16.7753,16.8475,15.1276,16.0092,32877922
1/24/1996,15.8695,15.9659,15.224,15.46,32532064
1/25/1996,15.4263,15.4937,14.7181,14.8096,33427848
1/29/1996,14.7422,16.1152,14.6506,15.9755,60481556
1/30/1996,16.4766,18.2109,16.2357,17.4112,98372368
1/31/1996,17.2474,17.8978,16.597,17.0306,67768080
2/1/1996,16.862,17.8255,16.8138,17.7147,59325532
2/2/1996,18.1868,19.849,18.1868,19.637,75842592
2/5/1996,20.7161,21.699,20.0947,21.2702,114664080
2/6/1996,21.7809,22.1615,19.0396,19.4876,115081808
2/7/1996,18.4085,20.0417,18.2158,19.849,82949184
2/8/1996,20.0513,21.935,19.849,21.5833,76113856
2/9/1996,22.3542,23.3177,21.593,22.8359,92119912
2/12/1996,22.2578,22.6432,21.1016,21.4051,90004016
2/13/1996,21.1979,23.5249,21.0148,22.6914,94398216
2/14/1996,23.2695,23.602,22.5324,22.7059,57661488
2/15/1996,22.1615,22.8841,21.9688,22.3445,64764452
2/16/1996,21.9688,22.1855,21.7809,21.9495,45914204
2/19/1996,22.3542,22.6625,22.041,22.1711,48006356
2/20/1996,22.1615,22.253,20.7161,21.0004,59205920
2/22/1996,21.487,22.2578,21.2991,22.1085,56836928
2/23/1996,22.0651,22.1133,21.5062,21.8724,50587456
2/26/1996,22.1133,22.571,21.7809,21.9206,50482376
2/27/1996,22.0458,22.1615,21.2991,21.6701,50253664
2/28/1996,22.0892,22.3349,21.7279,21.776,39631652
2/29/1996,21.5833,21.6604,20.2826,20.4126,64649772
3/1/1996,20.5716,20.8318,20.0947,20.5283,66991004
3/4/1996,20.6198,20.7161,20.0802,20.3163,62381056
3/6/1996,20.668,21.1786,20.4849,21.0389,50380020
3/7/1996,21.3328,21.7038,21.1257,21.2268,79148232
3/8/1996,20.957,21.1979,20.6921,21.116,59918788
3/11/1996,20.8125,21.2461,20.7306,21.1835,58461144
3/12/1996,21.1497,22.9323,21.0534,22.2723,74386896
3/13/1996,21.6797,21.9928,21.4147,21.8917,53516624
3/14/1996,21.8724,22.1036,21.7279,21.8868,55359696
3/15/1996,21.7712,21.8387,21.0052,21.169,57660064
3/18/1996,20.9522,21.0052,20.1284,20.2055,61817120
3/19/1996,20.138,20.5042,18.5482,18.9625,96089512
3/21/1996,19.7526,20.5331,19.7526,20.3211,62107976
3/22/1996,19.9405,19.9405,19.1263,19.4973,62512344
3/25/1996,19.7478,19.8586,19.1022,19.3816,42349620
3/26/1996,19.2708,19.6563,18.6445,19.2564,49317016
3/27/1996,19.9453,20.2296,19.8538,19.9405,34944648
3/28/1996,19.9935,20.3018,19.926,20.2006,33293836
3/29/1996,20.1766,20.3066,19.8682,19.9309,30195112
4/1/1996,20.0176,20.1862,19.849,20.1187,22928042
4/2/1996,20.1621,20.4271,19.9694,20.1717,34036408
4/3/1996,20.6246,20.851,20.2922,20.3404,27515544
4/4/1996,20.138,20.1669,19.8875,20.0995,22402896
4/8/1996,20.3548,20.5427,20.2247,20.4367,21130896
4/9/1996,20.6921,20.9281,20.3548,20.4608,29660236
4/10/1996,20.7161,20.8077,20.3693,20.4512,26410506
4/11/1996,20.2585,20.3789,20.1236,20.2392,20054010
4/12/1996,20.2392,20.957,20.1477,20.7932,31598528
4/15/1996,21.1979,21.752,21.1546,21.328,44150916
4/16/1996,21.3906,21.6556,21.1979,21.3762,36029188
4/17/1996,21.9688,22.5228,21.7616,22.2867,37981100
4/18/1996,22.9805,23.6309,22.8022,23.5104,63569772
4/19/1996,23.7031,24.1367,23.4671,23.6598,60947156
4/22/1996,23.8958,23.944,22.7878,22.9082,53529728
4/23/1996,22.6962,23.0046,22.4023,22.754,52825684
4/24/1996,23.8091,24.869,23.7224,24.5992,49550396
4/25/1996,24.763,25.293,22.9323,23.3466,57454052
4/26/1996,23.3177,23.8428,22.7396,23.5538,58594636
4/29/1996,23.3177,23.4382,22.9082,23.3611,39007132
4/30/1996,23.3177,24.0885,23.1732,23.573,39773836
5/1/1996,25.7266,26.006,25.4616,25.635,45897856
5/2/1996,25.4375,25.7844,25.0521,25.6543,46962940
5/3/1996,25.4327,25.582,24.9557,25.0714,45717924
5/6/1996,24.474,24.6089,23.5393,23.6646,54753080
5/7/1996,23.6309,24.1319,23.5393,23.9536,50820324
